iter	Logloss
0	0.6781627211
1	0.6638546486
2	0.6494291143
3	0.635514731
4	0.622671635
5	0.6113161652
6	0.5975442488
7	0.584824281
8	0.5719560641
9	0.5574038658
10	0.5458200821
11	0.5355143143
12	0.523521114
13	0.5130397037
14	0.502050455
15	0.4933070174
16	0.4826451252
17	0.4739682332
18	0.4625950727
19	0.4520965746
20	0.4438133524
21	0.4349122611
22	0.4254715355
23	0.4170295178
24	0.4089917302
25	0.4013844859
26	0.3953451695
27	0.3887748846
28	0.3804781464
29	0.3733920169
30	0.3663656315
31	0.3606564853
32	0.3542106738
33	0.3477083345
34	0.3426507311
35	0.338126402
36	0.3324823643
37	0.3268752119
38	0.3216944715
39	0.3154501564
40	0.3088165712
41	0.3026631218
42	0.2979810592
43	0.2920982504
44	0.2873977507
45	0.282452705
46	0.2776564649
47	0.2737746999
48	0.268679477
49	0.2643395477
50	0.2596478378
51	0.2547106383
52	0.2507891622
53	0.2468264507
54	0.2442187761
55	0.2411039938
56	0.2383017612
57	0.2342210138
58	0.2309222228
59	0.2274909997
60	0.2238263008
61	0.2205584357
62	0.2175655729
63	0.214188995
64	0.2110887074
65	0.2083122282
66	0.2052674782
67	0.2019413052
68	0.1992914098
69	0.1966030184
70	0.1936231301
71	0.1915813169
72	0.1888329065
73	0.1865137432
74	0.1845176194
75	0.1821848272
76	0.1793369918
77	0.1773690773
78	0.1753286215
79	0.1731623099
80	0.1712188486
81	0.1690345072
82	0.1668226516
83	0.1646151577
84	0.1624770836
85	0.1606672281
86	0.1591096902
87	0.1568389916
88	0.1552831198
89	0.1536039105
90	0.1519232667
91	0.1503921519
92	0.1485464139
93	0.1472930554
94	0.1456983355
95	0.1441141999
96	0.142544512
97	0.1408653049
98	0.139412999
99	0.1387347248
100	0.1375726651
101	0.1360159227
102	0.134588875
103	0.1339845602
104	0.1325505657
105	0.1312414987
106	0.1299364836
107	0.1286357904
108	0.1273672415
109	0.1264880109
110	0.1251632443
111	0.1241691186
112	0.1229923038
113	0.1220437495
114	0.1209938428
115	0.120102535
116	0.1191108673
117	0.1177934166
118	0.1166412417
119	0.115579721
120	0.1148414039
121	0.1144457292
122	0.1135413352
123	0.112357707
124	0.1110793669
125	0.1101813333
126	0.1094829413
127	0.1087746407
128	0.1077135717
129	0.1067335364
130	0.1060822129
131	0.1052599688
132	0.1043771457
133	0.1037177659
134	0.1030848533
135	0.1022084771
136	0.1011995308
137	0.1003366052
138	0.09958582676
139	0.09897930101
140	0.09807126282
141	0.09743947921
142	0.09659509103
143	0.09586770802
144	0.09506101502
145	0.09436746267
146	0.09364230204
147	0.09308334353
148	0.09231976944
149	0.0917162451
150	0.09110701933
151	0.09052437331
152	0.09003857271
153	0.08957495792
154	0.08893463336
155	0.08852711241
156	0.0880518089
157	0.08743747303
158	0.08687721174
159	0.08628298063
160	0.08577786567
161	0.08527842232
162	0.08468756831
163	0.08424127186
164	0.08372034849
165	0.08314052811
166	0.08264989682
167	0.08213596917
168	0.08157509147
169	0.08108222191
170	0.08055627334
171	0.08013444805
172	0.07972735558
173	0.07923752608
174	0.07878481739
175	0.0784072056
176	0.07808680834
177	0.07763423025
178	0.07725860631
179	0.07692256706
180	0.07644732673
181	0.07605714176
182	0.07559372331
183	0.07510472468
184	0.07477440456
185	0.07433050905
186	0.07400074863
187	0.07371217572
188	0.07321699485
189	0.07287399951
190	0.07267825479
191	0.07237297746
192	0.07202366319
193	0.07152339422
194	0.07123541687
195	0.07086455148
196	0.07050009495
197	0.0700840148
198	0.06980062124
199	0.06940200281
200	0.06907796424
201	0.06870562207
202	0.06850198996
203	0.06820484229
204	0.06792541301
205	0.06770601972
206	0.06741637544
207	0.06717023907
208	0.06679363715
209	0.0664551567
210	0.0662061273
211	0.06599654028
212	0.06575176707
213	0.06558207999
214	0.06524793289
215	0.06499693129
216	0.0648106335
217	0.06464943807
218	0.06430278656
219	0.06397078839
220	0.06367984013
221	0.06338701952
222	0.06310871459
223	0.06284651674
224	0.06248069322
225	0.06219882686
226	0.06186549003
227	0.06160607721
228	0.06137632262
229	0.06101863482
230	0.0607956416
231	0.06052315809
232	0.06029641593
233	0.0600723322
234	0.0598484896
235	0.05961443999
236	0.05942642312
237	0.05922732543
238	0.05900084549
239	0.05875556475
240	0.05859752317
241	0.05843014409
242	0.05819924867
243	0.05792333292
244	0.05769461893
245	0.0574554608
246	0.05727366611
247	0.05710289299
248	0.05695453901
249	0.0567549598
250	0.05656362322
251	0.0564421015
252	0.05621882884
253	0.05607503377
254	0.05585435205
255	0.05568213469
256	0.05552119116
257	0.05531131097
258	0.05511049429
259	0.0549011761
260	0.05474024374
261	0.05455214431
262	0.05430185008
263	0.05412086583
264	0.05386716834
265	0.05376396349
266	0.05358587601
267	0.05343055182
268	0.05321794834
269	0.05301195739
270	0.05284864745
271	0.05272751239
272	0.05255535733
273	0.05236536326
274	0.05214390293
275	0.05200822559
276	0.05180093242
277	0.05160175426
278	0.05147881987
279	0.05138782993
280	0.05120546754
281	0.05107260917
282	0.05087090572
283	0.05072696606
284	0.05058073116
285	0.05041037113
286	0.05015646164
287	0.04997308871
288	0.04978194294
289	0.04958619856
290	0.04940659609
291	0.049236478
292	0.04911680625
293	0.04898649746
294	0.04879693625
295	0.04867013455
296	0.04851124599
297	0.04839552712
298	0.04824164359
299	0.04809271886
300	0.0479907625
301	0.04788106447
302	0.04770887648
303	0.04759171854
304	0.04743467253
305	0.04716020715
306	0.04696292313
307	0.04675510877
308	0.04659153788
309	0.04647295379
310	0.04635784034
311	0.04630170056
312	0.04613815297
313	0.04599047269
314	0.04584348849
315	0.04570708502
316	0.04560651642
317	0.04547459774
318	0.04533785613
319	0.04520068878
320	0.04503466792
321	0.04489323489
322	0.04469779578
323	0.04453992053
324	0.04438545061
325	0.04424714383
326	0.04411311702
327	0.04399118227
328	0.04387666472
329	0.04377005342
330	0.04360481566
331	0.04342897585
332	0.04330843318
333	0.04319191183
334	0.04309990033
335	0.04299098766
336	0.0428555491
337	0.04274307552
338	0.04261808864
339	0.04249065481
340	0.04233419257
341	0.0422125297
342	0.04207352603
343	0.0420117796
344	0.04187986088
345	0.04178770438
346	0.04172829314
347	0.041611199
348	0.04142172465
349	0.04128562968
350	0.04115759573
351	0.04107707059
352	0.04098400618
353	0.04078720749
354	0.04065058598
355	0.04056541582
356	0.0404504526
357	0.04026478394
358	0.0401299349
359	0.04001029852
360	0.03991262342
361	0.03980627822
362	0.03966527249
363	0.03954265896
364	0.03941694826
365	0.03932980743
366	0.03919251319
367	0.03904732747
368	0.03895602303
369	0.03888923073
370	0.0387490742
371	0.03862271796
372	0.03854008731
373	0.03841100259
374	0.03832265771
375	0.0381963742
376	0.03807397306
377	0.0379928313
378	0.03787319859
379	0.03775444346
380	0.0376129823
381	0.03753823043
382	0.03742290727
383	0.03731769195
384	0.03721582126
385	0.03713793807
386	0.03698773262
387	0.03693014091
388	0.03682098176
389	0.03669771199
390	0.03661378249
391	0.03649915899
392	0.03638334474
393	0.03630775781
394	0.03626740167
395	0.03618736004
396	0.03609840069
397	0.03600732809
398	0.03588607453
399	0.0357893809
400	0.03569262094
401	0.03562877328
402	0.03554446634
403	0.03548307472
404	0.03541990802
405	0.03536974909
406	0.03529649975
407	0.03519368894
408	0.03511178199
409	0.0350675067
410	0.0349604044
411	0.03487368222
412	0.03481504675
413	0.03473721202
414	0.03462607242
415	0.03452834863
416	0.03438086374
417	0.03427278787
418	0.03415478
419	0.0340726315
420	0.03397254905
421	0.03389982359
422	0.0338136551
423	0.03375242604
424	0.033662548
425	0.03357844608
426	0.0334700014
427	0.03340530464
428	0.03334065405
429	0.03323624809
430	0.03314819093
431	0.03309655277
432	0.03303358415
433	0.03296075163
434	0.03288484857
435	0.03282662111
436	0.03273267951
437	0.03264794391
438	0.03258655858
439	0.03250360606
440	0.03240488937
441	0.0323124143
442	0.03227170883
443	0.03220967129
444	0.03213840531
445	0.03201880928
446	0.03197462196
447	0.03190828432
448	0.03179485564
449	0.03171943289
450	0.03165254628
451	0.03155817565
452	0.03150706704
453	0.03141070116
454	0.03133153405
455	0.03124924409
456	0.03116555972
457	0.0310618147
458	0.03098011913
459	0.03090411654
460	0.03082872199
461	0.0307561543
462	0.03067009666
463	0.03059707869
464	0.03053688918
465	0.03047601119
466	0.03038792426
467	0.03028334751
468	0.03018173922
469	0.03014327688
470	0.03009479714
471	0.02998334807
472	0.02991252909
473	0.02987742758
474	0.02979018502
475	0.02973026523
476	0.02968751285
477	0.02964744053
478	0.02953971985
479	0.02948484334
480	0.02942592635
481	0.02937822179
482	0.02932564572
483	0.02924341738
484	0.02920940917
485	0.02914186033
486	0.02910455307
487	0.02906924921
488	0.0290137101
489	0.02896941827
490	0.02890739744
491	0.02881053585
492	0.02871317757
493	0.02864877412
494	0.02860244275
495	0.02853542377
496	0.02848167678
497	0.0284359278
498	0.02839181611
499	0.02832276987
500	0.02825699604
501	0.02816969933
502	0.0281028977
503	0.02806092768
504	0.0280088081
505	0.02793691751
506	0.02785343158
507	0.02776641838
508	0.02769587478
509	0.02762809301
510	0.02758003916
511	0.02754228767
512	0.02750378719
513	0.02746647921
514	0.02742853553
515	0.02737958765
516	0.02730956746
517	0.02726974838
518	0.0272030275
519	0.02714928574
520	0.02704490644
521	0.02699877593
522	0.02695216514
523	0.02691156182
524	0.02684558245
525	0.02679583813
526	0.02671384125
527	0.02666163552
528	0.02660438746
529	0.02651907193
530	0.02645966065
531	0.02644406377
532	0.0263487786
533	0.02628787131
534	0.02624560529
535	0.02621250291
536	0.02617557772
537	0.0260756697
538	0.02598177588
539	0.0259348717
540	0.02589324233
541	0.02587528783
542	0.02578018567
543	0.02571370335
544	0.02567853388
545	0.02560996237
546	0.02554442431
547	0.02548713676
548	0.02543451775
549	0.02538170293
550	0.02532635259
551	0.02529017217
552	0.02523157992
553	0.02520519578
554	0.02515286649
555	0.02510262036
556	0.02505789054
557	0.02499642521
558	0.02494013085
559	0.02487829045
560	0.02484389725
561	0.02479447479
562	0.024763793
563	0.02474532234
564	0.0247071991
565	0.02461681648
566	0.02455184031
567	0.02449534111
568	0.02444949133
569	0.0243854561
570	0.02434156742
571	0.02429055096
572	0.02422768179
573	0.02416469251
574	0.0241301404
575	0.02407903529
576	0.0240289843
577	0.02399189188
578	0.02395952224
579	0.02388945761
580	0.02380765623
581	0.02375061344
582	0.02369896406
583	0.02365118331
584	0.0236191766
585	0.02355147443
586	0.02351581841
587	0.02348441818
588	0.02344783429
589	0.02341672255
590	0.02337586607
591	0.02334290835
592	0.02328214836
593	0.02324969084
594	0.02322724963
595	0.02317669605
596	0.02312872807
597	0.02309326375
598	0.02306124037
599	0.02300319104
600	0.02297098874
601	0.02293083201
602	0.02288363008
603	0.02283627142
604	0.02279757878
605	0.02273416408
606	0.02269018858
607	0.02266556369
608	0.02264201228
609	0.02259449869
610	0.02254594976
611	0.02251395289
612	0.02247514539
613	0.02243153984
614	0.02238868662
615	0.02235673338
616	0.02231125536
617	0.02228906167
618	0.02224335309
619	0.02220318184
620	0.02216601914
621	0.0221219977
622	0.02208354125
623	0.02202996264
624	0.02198975012
625	0.02194015263
626	0.02189690512
627	0.02186620794
628	0.0217989023
629	0.02175126625
630	0.02171989846
631	0.02168980059
632	0.02166642872
633	0.02157724302
634	0.02153061856
635	0.02149276139
636	0.02146794929
637	0.02144510102
638	0.02137965412
639	0.02134557267
640	0.02132075889
641	0.02126575158
642	0.02121025945
643	0.02118168814
644	0.02115168336
645	0.02112385019
646	0.02110894679
647	0.02106986795
648	0.02104297664
649	0.02100752132
650	0.02096409374
651	0.02093200585
652	0.02089121366
653	0.02085863391
654	0.02083086468
655	0.02080297592
656	0.02076944504
657	0.02073800332
658	0.02067834938
659	0.02060454399
660	0.02056442818
661	0.02053001396
662	0.02048901153
663	0.0204499996
664	0.02040379197
665	0.02037752114
666	0.02031475262
667	0.02028772558
668	0.02025906846
669	0.0202199479
670	0.02017952954
671	0.02013576157
672	0.02010296027
673	0.02005181978
674	0.02000216387
675	0.01997926882
676	0.01993017978
677	0.01989544288
678	0.01985488754
679	0.01982600565
680	0.01979902728
681	0.01974356507
682	0.01971116097
683	0.01968862692
684	0.01965777113
685	0.01962801811
686	0.0195911053
687	0.01956424638
688	0.0195287022
689	0.01949023573
690	0.01945310194
691	0.0194195516
692	0.01939416685
693	0.01936675967
694	0.01932937182
695	0.0192786311
696	0.01924146864
697	0.01921790704
698	0.01919216354
699	0.01915794752
700	0.01910777127
701	0.01907252562
702	0.01903901935
703	0.01901132978
704	0.01897807128
705	0.01894213773
706	0.01890319828
707	0.01886741906
708	0.01883573441
709	0.01880287901
710	0.01876553877
711	0.01869926947
712	0.01867544173
713	0.01865094106
714	0.01861502606
715	0.01858599487
716	0.01856563073
717	0.01854432185
718	0.01849573457
719	0.01845013459
720	0.0184089735
721	0.01838293741
722	0.01836233807
723	0.01834310659
724	0.01830599242
725	0.0182344742
726	0.01820176829
727	0.01819219663
728	0.01814765216
729	0.01810884916
730	0.01807949844
731	0.01805850097
732	0.01802655847
733	0.01800261743
734	0.01795250782
735	0.01791646489
736	0.01789073258
737	0.0178569711
738	0.01782900607
739	0.01779724378
740	0.01776187543
741	0.01772325782
742	0.01767643272
743	0.01764554906
744	0.0176157826
745	0.01758272024
746	0.01754064551
747	0.01751147537
748	0.01747749531
749	0.01745938423
750	0.01742354256
751	0.01737969639
752	0.01733504867
753	0.01730180125
754	0.01728110549
755	0.01723907849
756	0.01721145317
757	0.01718093725
758	0.01713606231
759	0.01710453056
760	0.01706880757
761	0.01704325419
762	0.01699751888
763	0.01695430976
764	0.01692611252
765	0.01690699463
766	0.01688568687
767	0.01684222803
768	0.01678750905
769	0.01675756015
770	0.01672838767
771	0.01668296688
772	0.01665500676
773	0.01663597631
774	0.0166163127
775	0.01657255388
776	0.01654111439
777	0.0165052315
778	0.01648466635
779	0.01644519971
780	0.01641626151
781	0.01639851019
782	0.01636994
783	0.01632979842
784	0.01629432007
785	0.01627519792
786	0.01626055593
787	0.01623396874
788	0.01620905282
789	0.01616647112
790	0.01614329793
791	0.01611993875
792	0.01610336921
793	0.01606483552
794	0.01603466398
795	0.01601226014
796	0.01598484109
797	0.01596100351
798	0.0159222829
799	0.01589866073
800	0.0158711134
801	0.01584494837
802	0.01581025834
803	0.01578120972
804	0.01576520741
805	0.0157529759
806	0.01572401336
807	0.01568733432
808	0.0156562196
809	0.01563738604
810	0.01561152718
811	0.01557937639
812	0.01555503616
813	0.01552521741
814	0.01549199701
815	0.01545609874
816	0.01543480527
817	0.01540423896
818	0.0153770352
819	0.01533411294
820	0.01530991777
821	0.0152876517
822	0.01526646023
823	0.01523626534
824	0.01521327925
825	0.01518185508
826	0.0151702961
827	0.01514837524
828	0.01513229753
829	0.01511309067
830	0.01508313482
831	0.01505497898
832	0.01503309975
833	0.01499742079
834	0.01497516697
835	0.01495864808
836	0.0149278187
837	0.01490772789
838	0.01488206644
839	0.01486252502
840	0.01483988185
841	0.01481727124
842	0.01479760118
843	0.0147718365
844	0.01474789428
845	0.01471761346
846	0.01468033163
847	0.01465284823
848	0.0146245405
849	0.01460999188
850	0.01459131545
851	0.01457374914
852	0.01455169153
853	0.01451953644
854	0.01449970274
855	0.01447901284
856	0.01445955956
857	0.01443123004
858	0.01440754864
859	0.01439511107
860	0.01437493056
861	0.01435433407
862	0.01433133555
863	0.01430754782
864	0.01428073346
865	0.01426208171
866	0.01424152938
867	0.01422022969
868	0.01420631254
869	0.01417728848
870	0.01415113322
871	0.01412150111
872	0.0141013383
873	0.01408640207
874	0.01405252248
875	0.0140249233
876	0.01400610307
877	0.01398965475
878	0.01395805908
879	0.01391743207
880	0.01390052135
881	0.01388200553
882	0.013854213
883	0.01383478093
884	0.01381193394
885	0.01379293861
886	0.01376989716
887	0.01375324659
888	0.01372875646
889	0.0137058953
890	0.01368820959
891	0.01366631799
892	0.01364436422
893	0.0136286916
894	0.01360668122
895	0.01359641933
896	0.01357459565
897	0.013550764
898	0.01351879389
899	0.01349538678
900	0.01346969642
901	0.0134455699
902	0.01342732963
903	0.01340857115
904	0.01339479267
905	0.0133738581
906	0.01335053202
907	0.01333048122
908	0.01330109397
909	0.0132751692
910	0.01325421122
911	0.01323000463
912	0.01321682541
913	0.01319862333
914	0.01317841354
915	0.01315767557
916	0.01314215382
917	0.01311376583
918	0.01309170567
919	0.01307602117
920	0.01305500214
921	0.01302488359
922	0.01301052018
923	0.01298857762
924	0.01296601564
925	0.01293048642
926	0.01290932499
927	0.01288340023
928	0.01285897354
929	0.01283521793
930	0.01281184502
931	0.01279171755
932	0.01277289344
933	0.01275987986
934	0.01272951987
935	0.01271023803
936	0.01269563484
937	0.01267013227
938	0.01266097279
939	0.01264404192
940	0.01262758677
941	0.01261242435
942	0.0125928006
943	0.0125743614
944	0.01255322213
945	0.01253449776
946	0.01251808705
947	0.01249367166
948	0.0124699435
949	0.01245381129
950	0.01243598093
951	0.01241462481
952	0.01239668034
953	0.01237349387
954	0.01234768277
955	0.01233176062
956	0.01229694987
957	0.01227946473
958	0.01226042071
959	0.01224350623
960	0.012231773
961	0.01221117082
962	0.0121938477
963	0.01217558591
964	0.01214965453
965	0.01213163503
966	0.01211311281
967	0.01210115584
968	0.01208273402
969	0.01205828457
970	0.01203871806
971	0.01201052454
972	0.01199440965
973	0.0119756763
974	0.01196536229
975	0.01194777699
976	0.01192535674
977	0.01191452487
978	0.01189792621
979	0.0118816074
980	0.01186628137
981	0.01185568197
982	0.01183800833
